Year,Bae_Count
2014,10.0
2015,2.0
2016,4.0
2017,7.0
2018,10.0
2019,3.0
2020,9.0
2021,27.0
2022,10.0
2023,2.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
