Year,bae,drip,dope,lit,flex,woke
2010,0,0,0,1,1,1
2011,0,1,2,0,1,1
2012,0,1,1,0,1,1
2013,0,0,4,0,1,4
2014,2,2,4,1,3,3
2015,2,1,3,1,1,2
2016,3,0,7,5,1,11
2017,4,1,6,2,4,7
2018,7,13,13,18,11,6
2019,1,12,6,8,5,7
2020,6,17,10,20,9,5
2021,13,7,7,18,9,10
2022,8,13,11,19,6,9
2023,1,2,1,5,2,2
